1 组织体系
3.3.1 建立了实验室安全考试系统
3.3.2 每年组织本科生、研究生学习与考试，发放合格证
3.3.3 组织对教师的考试，有记录
3.4 宣传
3.4.1 在本单位主页设立专门的板块开展安全宣传、报道
3.4.2 设有安全教育宣传窗，或有宣传画、标语、提示等
3.4.3 编印《实验室安全手册》并发放到每一位师生，收回承诺书并归档
3.4.4 通过各种信息平台对师生进行安全方面的知识传输和温馨提醒
4 实验室环境与管理
4.1 场所
4.1.1 每个房间门口挂有安全信息牌，信息包括安全责任人、涉及危险类别、防护措施和有效的应急联系电话等，并及时更新
4.1.2 实验室应张贴针对危险源的安全警示标识
4.1.3 实验室消防通道通畅，公共场所、通道无堆放仪器、物品现象
4.1.4 实验室门上有观察窗，外开门不阻挡逃生路径
4.1.5 所有房间的钥匙有备用，存放在单位办公室或传达室内，由专人管理
4.1.6 超过200平米的实验室或楼层应具有至少两处紧急出口
4.2 卫生与环境
4.2.1 有毒有害实验区与学习区明确分开，布局合理
4.2.2 实验室物品摆放有序，卫生状况良好；实验完毕物品归位
4.2.3 不存在门开着而无人的现象
4.2.4 无废弃物品（如纸板箱、废电脑、破仪器、破家具等）
4.3 危险品仓库与中转站
4.3.1 学校有危险品仓库，符合相关规定
4.3.2 学校有化学实验废弃物中转站，符合相关规定
4.3.3 学校有生化固废中转站，符合相关规定
4.3.4 照明和消防设施符合国家相关规定，正确配备灭火器材（如灭火器、灭火毯等）
4.3.5 安装监控、报警装置、通风装置和喷淋装置
4.3.6 张贴安全警示标识
4.3.7 化学品、废弃物分类区域明确，规范放置
4.3.8 建立进出库台账
4.4 场所其它安全
4.4.1 楼层或实验室配备了急救药箱，药箱不上锁、药品在保质期内
4.4.2 实验室内不放无关物品，如电动车、自行车等
4.4.3 实验室内不存放或烧煮食物、饮食
4.4.4 不在实验室内睡觉过夜
4.4.5 实验室内无吸烟现象
4.4.6 化学、生物类实验室不得使用可燃性蚊香。其它实验室如需使用，其底盘必须是金属的
4.4.7 屋顶天花板安全固定
5 安全设施
5.1 消防设施
5.1.1 根据实验室情况配置相应的消防器材（烟感报警器、灭火器、灭火毯、消防栓、手动报警器、沙桶等），并正常有效
5.1.2 实验大楼有逃生线路指示图，并安装了应急指示灯
5.1.3 灭火器配备数量合理、种类合适，无过期现象，摆放位置利于取用
5.1.4 重点部位有防盗和监控设施，包括剧毒品、病原微生物和放射源存放点等
5.2 应急喷淋装置
5.2.1 化学和生物类实验室有应急喷淋装置和洗眼装置，且正常有效并有巡检记录
5.2.2 应急喷淋装置水管总阀处常开状，喷头下方无障碍物
5.2.3 应急喷淋装置水压能保障出水畅通，洗眼装置的水压适中以保证一定的出水高度
5.2.4 实验室内有毛巾或毛巾毯并置于应急喷淋装置附近，随时可用
5.3 通风系统
5.3.1 配备符合要求的通风系统；对于排放有毒有味废气体的实验室，有吸收过滤装置
5.3.2 通风系统运行正常，有风速测定等维护、检修记录
5.3.3 换气扇使用正常
5.3.4 屋顶风机固定无松动、无异常噪声
5.3.5 使用可燃气体场所应采用防爆通风机
6 水电安全
6.1 用电基础安全
6.1.1 插头插座功率需匹配，无私自改装现象
6.1.2 不乱拉乱接电线，无电线老化、使用花线和木质配电板的现象
6.1.3 多个大功率仪器不使用同一个接线板
6.1.4 不能多个接线板串联、接线板不直接放在地面
6.1.5 无电源插座未固定、插座插头破损现象
6.1.6 大功率仪器（包括空调等）有专用插座，用电负荷满足要求；长期不用时，应拔出电源插头
6.1.7 无人状态下，充电器（宝）不能充电过夜
6.1.8 水槽边不安装电源插座，如确实需要，应有防护挡板或防护罩
6.1.9 实验室和电气设备配备空气开关和漏电保护器
6.1.10 电线接头绝缘可靠，无裸露连接线，地板上的导线应有盖板或护套
6.1.11 加热器采用耐高温阻燃导线
6.1.12 配电柜/箱无物品遮挡并便于操作
6.2 用水安全
6.2.1 下水道畅通，不存在水龙头、水管破损现象
6.2.2 各类链接管无老化破损现象（特别是冷却冷凝系统的橡胶管接口处）
6.2.3 无自来水龙头开着时人离开的现象
7 化学安全
7.1 化学试剂存放
7.1.1 有房间内化学品的动态台帐
7.1.2 有序分类存放（柜子门上粘贴清单），放置位置便于查找取用
7.1.3 强酸与强碱、氧化剂与还原剂等分开存放
7.1.4 固体与液体分开存放（如在同一试剂柜中，液体需放置在下层）
7.1.5 化学品不存在叠放现象
7.1.6 腐蚀溶剂配有托盘类的二次泄漏防护容器
7.1.7 化学试剂标签无脱落、模糊现象
7.1.8 存放点通风、隔热、避光、安全；有机溶剂远离热源
7.1.9 无存放大桶试剂现象、无大量存放化学试剂现象（用量较大的试剂存量应控制在一周计划用量之内）
7.1.10 如单个实验装置存在10L以上甲类物质储罐，或20L以上乙类物质储罐，或50L以上丙类物质储罐，需加装泄露报警器及通风联动装置
7.1.11 过期药品定期清理，无过期药品累积
7.1.12 无试剂瓶开口放置现象
7.1.13 易泄漏、挥发的试剂应存放在具有通风、吸附功能的试剂柜内
7.2 剧毒品管理
7.2.1 剧毒品购买前须经公安部门审批，并凭证向具有经营许可资质的单位购买
7.2.2 校职能部门负责校内审批，并保留资料、建立档案
7.2.3 配备专门的保险柜并固定，实行双人双锁保管（只有2名分别掌管了钥匙和密码的保管人同时到场时才能开启保险柜），需配备报警及监控设备
7.2.4 对于具有高挥发性、低闪点的剧毒品应存放在具有防爆功能的冰箱内，并配备双锁，实行双人双锁保管
7.2.5 执行双人收发、双人运输，有记录
7.2.6 使用时有两人同时在场，且计量取用后立即放回保险柜，并做好记录（双人签字）
7.2.7 有规范的剧毒品处置方法，双人签字记录
7.2.8 按有关规定对残余、废弃的剧毒品或空瓶进行处置
7.2.9 不得私自从外单位获取剧毒品
7.3 其它管控药品的管理
7.3.1 各类管控药品采购有校内报批流程，并建档
7.3.2 易制毒品购买前须经公安部门审批, 并凭证向具有经营许可资质的单位购买
7.3.3 易制毒品分类存放、专人保管，做好领取、使用、处置记录。其中第一类易制毒品实行“五双”管理制度
7.3.4 易制爆品购买前须经公安部门审批, 或按照政府管理的规定要求采购，并向具有经营许可资质的单位购买
7.3.5 易制爆品分类存放、专人保管，做好领取、使用、处置记录
7.3.6 麻醉药品、精神药品等购买前须向食品药品监督管理部门申请，报批同意后向定点供应商或者定点生产企业采购
7.3.7 麻醉品和精神类药品储存于专门的保险柜中，有规范的领取、使用、处置台账
7.3.8 爆炸品的采购、运输、存储、使用、销毁按照公安部门的要求执行
7.4 实验气体管理
7.4.1 有气体钢瓶台帐，钢瓶颜色和字体清楚，在用气体有检验合格标识。需更换的气瓶应有标识
7.4.2 可燃性气体与氧气等助燃气体不混放
7.4.3 涉及剧毒、易燃易爆气体的场所，配有通风设施和合适的监控报警装置等；张贴必要的安全警示标识
7.4.4 大量惰性气体或CO2存放在有限空间内时需加装氧气含量报警器
7.4.5 危险气体钢瓶存放点通风、远离热源；无气体钢瓶放在走廊、大厅等公共场所的现象
7.4.6 气体钢瓶正确固定，避免暴晒，钢瓶放置地面平整干燥
7.4.7 气体连接管路连接正确、有标识，管路材质选择合适，无破损或老化现象。对于存在多条气体管路的房间张贴了详细的管路图
7.4.8 不能带着减压阀移动钢瓶、不得在地上滚动钢瓶
7.4.9 时常进行检漏，实验结束后，气体钢瓶总阀已关闭
7.4.10 独立的气体钢瓶室有专人管理
7.4.11 气体钢瓶有定期安全检测标识（由供应商负责进行），无过期气体钢瓶，无大量气体钢瓶堆放现象
7.5 化学废弃物处置
7.5.1 与有资质的处置单位（企业）签约处置化学废弃物
7.5.2 学校有统一的化学实验废弃物标签，包含废物类别、危险类别、主要成分、产生单位、送储人、日期等信息
7.5.3 配备了化学实验废弃物分类容器
7.5.4 对化学废弃物进行了分类存放（应避免易产生剧烈反应的物品混放）、包装严密，并贴好标签，及时送学校中转站或收集点
7.5.5 定时清运化学实验废弃物，实验室内无大量存放、室外无堆放实验废弃物现象
7.5.6 实验废弃物和生活垃圾不混放，不向下水道倾倒废旧化学试剂
7.5.7 对于产生有毒和异味废气的，有气体吸收装置
7.5.8 锐器废物盛放在纸板箱等不易被刺穿的容器中
7.6 其它化学安全
7.6.1 学校有统一的试剂标签（用于配置试剂、合成品、样品等），信息包括名称、浓度、责任人、日期、储存条件等
7.6.2 配置试剂、合成品、样品等标签信息明确
7.6.3 盛放配置试剂、合成品等的烧杯、烧瓶不得无盖放置
7.6.4 无使用饮料瓶存放试剂、样品的现象。如确需存放，必须撕去原包装纸，贴上专用标签纸
7.6.5 原标签纸未撕去的空试剂瓶中不存放其它化学品的现象（除非将原标签撕去、重新贴上专用标签纸）
7.6.6 用于浸泡玻璃器皿的酸缸、碱缸等有盖子盖上
7.6.7 不使用破损量筒、试管等玻璃器皿
7.6.8 涉及危险化学品的实验室化学品安全技术说明书（MSDS）或安全周知卡，放在门上/门边活动袋中
7.6.9 危险性化学实验有实验指导书
7.6.10 实验室内有吸液（油）棉/条带
8 生物安全
8.1 实验室与人员资质
8.1.1 开展病原微生物相关实验和研究的实验室，须具备相应的安全等级资质和生物危害因子实验活动资格
8.1.2 开展病原微生物相关实验和研究的人员经过专业培训，并取得相应的“证书”
8.1.3 开展病原微生物实验须向卫生或农业主管部门申报备案
8.1.4 开展未经灭活的高致病性病原微生物（列入一类、二类）相关实验和研究，必须在BSL-3/ABSL-3、BSL-4/ABSL-4实验室中进行
8.1.5 开展低致病性病原微生物（列入三类、四类），或经灭活的高致病性感染性材料的相关实验和研究，必须在BSL-1/ ABSL-1及以上等级实验室中进行
8.1.6 饲养实验动物的场所应有资质证书
8.1.7 实验动物需从具有资质的单位购买，具有合格证明
8.2 设施与场所
8.2.1 实验室安全防范设施达到安全要求，BSL-2/ABSL-2及以上安全等级实验室须有门禁和准入制度
8.2.2 配有符合相应生物安全等级要求的生物安全柜，定期检查生物安全柜风速及高效空气微粒过滤器性能，并做好了记录
8.2.3 储存病原微生物的场所或储柜配备防盗设施，并安装监控报警装置
8.2.4 有高压灭菌器，并能正常工作
8.2.5 安装了防虫纱窗、入口处有挡鼠板
8.2.6 传递窗内无物品
8.3 操作与管理
8.3.1 采购高致病性病原微生物需经学院和学校审批，报行业主管部门批准，有记录
8.3.2 实验室自行分离的高致病性病原微生物，需按有关规定报卫生或农业主管部门批准，方可保藏
8.3.3 有病原微生物保藏、实验使用、销毁的记录
8.3.4 在合适的生物安全柜中进行实验
8.3.5 对病原微生物的操作具有相应的个人防护措施
8.3.6 BSL-2 /ABSL-2及以上等级实验室，开展病原微生物的相关实验活动应有风险评估和应急预案
8.3.7 禁止戴实验防护手套操作未受潜在感染性生物材料污染的设施设备（包括门窗、开关、仪器、冰箱、电脑、电话等）
8.3.8 用于解剖的实验动物须经过检验检疫合格
8.3.9 解剖实验动物时，必须做好个人防护
8.4 生物实验废弃物处置
8.4.1 涉及病原微生物的实验室废弃物必须进行高温高压灭菌或化学浸泡灭菌处理，并有处置的记录。高致病性生物材料废弃物处置实现溯源追踪
8.4.2 学校有统一的生化固体废弃物标签
8.4.3 配备了生化固废分类容器（一般生化固废使用黄色塑料袋存放），刀片、移液枪头等尖锐物应使用纸板箱外包装以避免穿透伤人
8.4.4 对生物实验废弃物按照是否具有毒性和病原性进行分类收集，并贴好标签。对有毒有害废弃物经高温高压处置后及时送学校中转站或收集点
8.4.5 实验动物实验结束后，送学校中转站或收集点，统一处理
8.4.6 与有资质的单位签约处置生化废弃物，有处置记录
8.4.7 有毒有害生化实验废弃物和生活垃圾不混放
9 辐射安全
9.1 实验室资质与人员要求
9.1.1 取得“辐射安全许可证”，并按规定在放射性核素种类和用量许可范围内开展实验
9.1.2 放射性操作人员经过了专门培训，有《辐射安全与防护培训学习合格证书》
9.1.3 涉辐人员按时参加职业体检
9.1.4 涉辐人员佩带个人剂量计，并按时进行剂量检测（3个月一次），提供合格的个人剂量检测报告
9.2 场所与设施
9.2.1 辐照设施设备具有能正常工作的安全连锁装置
9.2.2 放射源储存库双门双控，并有安全报警系统（与公安部门110联网）和视频监控系统
9.2.3 涉辐实验场所（放射性物质、X射线装置）有安全警示标识、警戒线和剂量报警仪
9.2.4 涉辐实验场所配备各种辐射防护器材和表面污染监测仪器设备，有合格的实验场所检测报告
9.2.5 有专门存放放射性废弃物的容器和暂存库
9.2.6 非密封性放射性实验室有衰减池，或者有非密封性专门回收处置场所
9.3 采购、转让转移与运输
9.3.1 放射源和放射性物质的采购和转让转移有学校及政府环保部门的审批备案材料
9.3.2 放射源和放射性物质的转移和运输有学校及公安部门的审批备案材料
9.3.3 放射源和放射性物质变更有及时登记台帐
9.4 放射性实验安全操作
9.4.1 Г辐照装置有符合国家相关规定的操作规程、安保方案及应急预案，并遵照执行
9.4.2 电子加速器辐照装置有符合国家相关规定的操作规程、安保方案及应急预案，并遵照执行
9.4.3 射线探伤仪有符合国家相关规定的操作规程、安保方案及应急预案，并遵照执行
9.4.4 非密封性放射性实验操作有符合国家相关规定的操作规程，并遵照执行
9.5 放射性实验废物的处置
9.5.1 报废含有放射源或可产生放射性的设备，需报学校管理部门同意，并按国家规定进行退役处置
9.5.2 中、长半衰期核素固液废弃物有符合国家相关规定的处置方案或回收协议，并有处置记录
9.5.3 短半衰期核素固液废弃物放置10个半衰期经检测达标后作为普通废物处理，并有处置记录
9.6 激光安全
9.6.1 有激光器的安全使用方法，激光设备有激光危害标识
9.6.2 功率较大的激光器有互锁装置、防护罩
9.6.3 操作人员有穿戴防护眼镜等防护用品
9.6.4 操作人员不带手表等能反光的物品
9.6.5 激光照射方向不会对他人造成伤害
10 仪器设备安全
10.1 常规管理
10.1.1 建立了设备台帐
10.1.2 高功率的设备与电路容量相匹配，仪器设备接地良好
10.1.3 仪器设备使用完后，及时关闭电源，包括电脑显示器电源
10.1.4 有仪器设备运行、维护的记录
10.1.5 对于高温、高压、高速运动、电磁辐射等特殊设备，对使用者有培训要求，有安全操作规程上墙，有安全警示标识和安全警示线（黄色），并配备相应安全防护设施（如防护罩、防护栏、自屏蔽设施等）
10.1.6 对于超高速离心机，需要放置在离心室，在离心过程中，工作人员保持合理安全距离
10.1.7 无电脑、空调、饮水机等随意开机过夜现象
10.1.8 对于不能断电的特殊仪器设备，采取了必要的防护措施（如双路供电、不间断电源、监控报警等）
10.1.9 电子天平不放在阳光直射的地方，且用后及时清理
10.2 特种设备管理
10.2.1 锅炉、压力容器、起重机械、电梯等通过有资质单位检定，证书在有效期内
10.2.2 操作人员需持证上岗
10.2.3 有定期检验维护的记录
10.3 冰箱管理
10.3.1 贮存危险化学品的冰箱为防爆冰箱或经过防爆改造的冰箱，禁止使用无霜冰箱储存易燃易爆试剂
10.3.2 冰箱内存放的物品必须标识明确（包括品名、使用人、日期等），并经常清理，有清理记录
10.3.3 冰箱内储存试剂必须密封好
10.3.4 无冰箱超期服役现象（一般使用期限控制为10年）
10.3.5 不在冰箱周围堆放杂物，影响散热
10.3.6 实验室冰箱中不放置食品
10.4 烘箱与电阻炉管理
10.4.1 烘箱、电阻炉无超期服役现象（一般使用期限控制为12年）
10.4.2 不使用有故障、破损的烘箱、电阻炉
10.4.3 不在烘箱等加热设备内烘烤易燃易爆化学试剂、塑料等易燃物品、不使用塑料筐盛放实验物品在烘箱等加热设备内烘烤
10.4.4 烘箱、电阻炉等附近不存放气体钢瓶、易燃易爆化学品
10.4.5 烘箱、电阻炉等加热设备周围要有一定的散热空间，不存在堆放杂物，影响散热的现象
10.4.6 使用烘箱、电阻炉等加热设备时有人值守（或10-15分钟检查一次）
10.4.7 无烘箱位置放置过低、影响物品取用的现象
10.4.8 烘箱、电阻炉等不直接放置在木桌、木板等易燃物品上
10.4.9 加热设备边上不能放置冰箱、气体钢瓶等
10.5 明火电炉与电吹风等管理
10.5.1 未经学校安全管理部门许可不使用明火电炉
10.5.2 有许可证使用明火电炉的，其使用位置周围无易燃物品，并配备了灭火器、砂桶等灭火设施
10.5.3 不使用明火电炉加热易燃易爆溶剂
10.5.4 明火电炉、电吹风、电热枪、电烙铁等用毕，及时拔除电源插头
11 个人防护与其它
11.1 正确选用防护用品
11.1.1 凡进入实验室人员需穿长袖实验服或防护服
11.1.2 按需要佩戴防护眼镜（如进行化学实验、有危险的机械操作等）
11.1.3 涉及化学和高温实验时，不得佩戴隐形眼镜
11.1.4 特殊场所按需佩戴安全帽、防护帽，无长发散露在外的现象
11.1.5 按需要佩戴防护手套（涉及不同的有害化学物质、病原微生物、高温和低温等），并正确选择不同种类和材质的手套
11.1.6 在特殊的实验室配备和使用呼吸器或面罩（如有挥发性毒物、溅射危险等），并正确选择种类
11.1.7 防化服分散存放在安全场所，紧急情况下便于取用
11.2 其它
11.2.1 危险性实验（如高温、高压、高速运转等）时必须有两人在场
11.2.2 实验时不能脱岗，通宵实验须两人在场
11.2.3 不穿拖鞋、短裤进入实验室，不露脚趾
11.2.4 非实验区（如电梯、办公室、休息室、会议室、餐厅等）无穿戴实验服、实验手套等现象
11.2.5 操作机床等旋转设备时，不穿戴长围巾、丝巾、领带等
11.2.6 手机、银行卡等不带入高磁场实验室
11.2.7 有规范的实验记录
